Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
84,18,62,3,238,0,691,0,0,0,0,0,0,0,1096
56,11,167,5,120,0,292,0,0,0,0,0,0,1,652
80,9,651,12,239,59,677,0,0,0,0,0,0,12,1739
90,0,89,4,203,3,279,0,0,0,0,0,0,0,668
10,0,16,0,0,0,33,0,0,0,0,0,0,0,59
53,10,176,5,161,13,292,0,0,0,0,0,0,1,711
82,6,207,12,139,0,416,0,0,0,0,0,0,0,862
37,7,68,2,20,0,38,0,0,0,0,0,0,0,172
65,0,136,13,246,0,242,0,0,0,0,0,0,0,702
32,0,98,2,122,0,223,0,0,0,0,0,0,0,477
69,23,182,10,74,0,377,0,0,0,0,0,0,0,735
86,7,182,2,146,0,414,0,0,0,0,0,0,0,837
5,1,16,0,5,0,3,0,0,0,0,0,0,2,32
95,45,328,19,105,0,890,0,0,0,0,0,0,4,1486
36,0,102,3,43,1,188,0,0,0,0,0,0,0,373
8,0,3,0,3,0,11,0,0,0,0,0,0,0,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6,290,2,249,0,331,0,0,3,0,0,0,3,919
43,25,136,10,28,0,503,0,0,0,0,0,0,1,746
27,14,14,2,42,0,185,0,0,49,0,0,0,0,333
22,0,63,4,30,0,76,0,0,0,0,0,0,0,195
10,0,6,0,4,0,14,0,0,0,0,0,0,0,34
5,0,6,0,14,0,19,0,0,0,0,0,0,0,44
34,0,106,3,28,0,212,0,0,0,0,0,0,5,388
44,15,138,7,117,3,295,0,0,0,0,0,0,0,619
43,12,58,7,130,0,203,0,0,0,0,0,0,1,454
1733,499,5039,216,4293,111,11225,0,0,95,0,0,0,47,23258
50,4,81,23,0,0,60,0,0,12,0,0,0,0,230
