Mahadevapura,12.990723,77.68741,38,0,84,11,74,1,78,286,5290,68,60,40,4,4,4,42,4,4,4,4,45
Mahatma Gandhi Road,26.331112,90.668958,126,1,99,10,269,11,201,717,2958,171,150,100,10,10,10,107,10,10,10,10,114
Marathahalli Colony,12.956868,77.70051,23,0,11,0,19,4,14,71,5296,16,14,9,1,1,1,10,1,1,1,1,11
Maruthi Sevanagar,26.227681,78.172725,36,0,229,62,0,0,137,464,1666,111,97,64,7,7,7,69,7,7,7,7,74
Medimallasandra,12.952112,77.830203,23,0,24,21,18,0,5,91,2458,21,18,12,1,1,1,13,1,1,1,1,14
Mundur,10.597768,76.148994,40,2,148,30,112,0,108,440,1089,105,92,61,6,6,6,66,6,6,6,6,70
Museum Road,26.845045,80.953196,20,10,17,4,49,0,58,158,4509,37,33,22,2,2,2,23,2,2,2,2,25
Muthusandra,12.764487,77.745274,154,5,57,57,583,380,1495,2731,4727,655,573,382,39,39,39,409,39,39,39,39,436
Naduvathi,13.005796,77.797827,10,0,9,0,13,24,8,64,3706,15,13,8,1,1,1,9,1,1,1,1,10
NAL,25.624763,72.325637,6,0,25,0,19,3,212,265,2327,63,55,36,4,4,4,39,4,4,4,4,42
New Thippasandra,12.972264,77.652664,0,0,0,0,0,0,0,0,2396,0,0,0,0,0,0,0,0,0,0,0,0
P&T Col. Kavalbyrasandra,19.083791,73.009505,32,15,57,12,325,8,276,725,4077,174,151,101,10,10,10,108,10,10,10,10,116
Panathur,12.936355,77.705013,8,0,12,0,18,2,10,50,1310,12,10,6,1,1,1,7,1,1,1,1,8
R T Nagar,27.423787,77.097581,3,0,11,0,12,0,72,98,6178,23,20,13,1,1,1,14,1,1,1,1,15
R.M.V. Extension II Stage,13.013485,77.576883,53,10,176,5,161,13,292,710,3852,170,148,99,10,10,10,106,10,10,10,10,113
Rajanakunte,13.174795,77.563231,8,0,21,0,8,1,58,96,4291,22,19,13,1,1,1,14,1,1,1,1,15
Rajbhavan,17.41963,78.460117,28,0,24,4,66,5,14,141,4298,33,29,19,2,2,2,21,2,2,2,2,22
Ramamurthy Nagar,27.423787,77.097581,36,0,21,0,57,5,14,133,4712,31,27,18,2,2,2,19,2,2,2,2,21
Rameshnagar,16.987374,73.328368,1,0,0,0,10,0,0,11,1741,2,1,1,0,0,0,1,0,0,0,0,1
Richmond Town,12.965677,77.602786,60,10,72,4,83,1,216,446,5066,106,93,62,6,6,6,66,6,6,6,6,71
Sadashivanagar,12.99275,74.79733,18,0,44,3,27,4,106,202,4097,48,42,28,3,3,3,30,3,3,3,3,32
Sahakaranagar P.O,13.063546,77.588728,89,0,65,8,0,0,58,220,5359,52,46,30,3,3,3,33,3,3,3,3,35
Samethanahalli,12.9795,77.791052,1,0,3,0,0,0,2,6,794,1,1,0,0,0,0,0,0,0,0,0,0
Singanayakanahalli,13.147968,77.567201,21,6,46,45,1,0,95,214,3088,51,44,29,3,3,3,32,3,3,3,3,34
Sivan Chetty Gardens,8.518454,76.97817,0,1,0,0,3,0,0,4,4753,0,0,0,0,0,0,0,0,0,0,0,0
St. Thomas Town,13.00572,77.620799,3,1,14,1,33,10,4,66,4076,15,13,9,1,1,1,9,1,1,1,1,10
Training Command IAF,12.912459,80.145366,32,2,12,6,21,0,102,175,2337,42,36,24,2,2,2,26,2,2,2,2,28
Vartur,22.08836,88.13636,57,5,421,78,206,0,528,1295,1631,310,271,181,18,18,18,194,18,18,18,18,207
Vasanthanagar,8.703936,77.730206,112,7,125,1,226,8,84,563,797,135,118,78,8,8,8,84,8,8,8,8,90
Venkateshapura,13.654098,77.075205,158,67,399,19,434,1,911,1989,2650,477,417,278,28,28,28,298,28,28,28,28,318
Vidhana Soudha,12.979712,77.590659,154,14,126,0,301,28,242,865,6572,207,181,120,12,12,12,129,12,12,12,12,138
Vimanapura,12.964864,77.675173,69,163,395,57,80,2,1553,2319,5683,556,486,324,33,33,33,347,33,33,33,33,370
Virgonagar,13.045346,77.738507,80,13,76,7,80,16,217,489,5239,117,102,68,7,7,7,73,7,7,7,7,78
